ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42798113,2026.05.28 06:04:25,sell,0.02,xauusd,4393.40,0.00,4393.04,2026.05.28 06:12:02,4393.04,0.00,0.00,0.00,0.72
42798200,2026.05.28 06:06:38,buy,0.01,xauusd,4396.97,0.00,4396.22,2026.05.28 06:13:45,4396.22,0.00,0.00,0.00,-0.75
42798216,2026.05.28 06:06:38,sell,0.02,xauusd,4396.53,0.00,4393.04,2026.05.28 06:12:03,4393.04,0.00,0.00,0.00,6.98
42798324,2026.05.28 06:11:51,buy,0.02,xauusd,4393.60,0.00,4396.22,2026.05.28 06:13:45,4396.22,0.00,0.00,0.00,5.24
42798385,2026.05.28 06:12:03,sell,0.01,xauusd,4392.46,0.00,4393.04,2026.05.28 06:15:27,4393.04,0.00,0.00,0.00,-0.58
42798464,2026.05.28 06:13:16,sell,0.02,xauusd,4395.58,0.00,4393.04,2026.05.28 06:15:27,4393.04,0.00,0.00,0.00,5.08
42798499,2026.05.28 06:13:45,buy,0.01,xauusd,4396.88,0.00,4381.11,2026.05.28 06:37:45,4375.89,0.00,0.00,0.00,-20.99
42798534,2026.05.28 06:14:34,buy,0.02,xauusd,4394.02,0.00,4381.11,2026.05.28 06:37:47,4375.50,0.00,0.00,0.00,-37.04
42798695,2026.05.28 06:15:28,sell,0.01,xauusd,4392.47,0.00,4389.47,2026.05.28 06:15:50,4389.47,0.00,0.00,0.00,3.00
42798751,2026.05.28 06:15:44,buy,0.02,xauusd,4390.61,0.00,4381.11,2026.05.28 06:37:48,4375.48,0.00,0.00,0.00,-30.26
42798785,2026.05.28 06:15:50,sell,0.01,xauusd,4388.47,0.00,4385.47,2026.05.28 06:19:04,4385.47,0.00,0.00,0.00,3.00
42798923,2026.05.28 06:18:35,buy,0.03,xauusd,4387.42,0.00,4381.11,2026.05.28 06:37:52,4375.95,0.00,0.00,0.00,-34.41
42798996,2026.05.28 06:19:04,sell,0.01,xauusd,4384.75,0.00,4385.30,2026.05.28 06:30:08,4385.30,0.00,0.00,0.00,-0.55
42799042,2026.05.28 06:19:13,buy,0.05,xauusd,4384.83,0.00,4381.11,2026.05.28 06:37:53,4375.94,0.00,0.00,0.00,-44.45
42799325,2026.05.28 06:29:39,sell,0.02,xauusd,4387.82,0.00,4385.30,2026.05.28 06:30:08,4385.30,0.00,0.00,0.00,5.04
42799403,2026.05.28 06:30:08,sell,0.01,xauusd,4384.29,0.00,4381.29,2026.05.28 06:31:19,4381.29,0.00,0.00,0.00,3.00
42799442,2026.05.28 06:31:12,buy,0.08,xauusd,4381.73,0.00,4381.11,2026.05.28 06:37:54,4375.94,0.00,0.00,0.00,-46.32
42799515,2026.05.28 06:31:20,sell,0.01,xauusd,4380.76,0.00,4381.36,2026.05.28 06:32:30,4381.36,0.00,0.00,0.00,-0.60
42799550,2026.05.28 06:31:47,sell,0.02,xauusd,4383.91,0.00,4381.36,2026.05.28 06:32:30,4381.36,0.00,0.00,0.00,5.10
42799573,2026.05.28 06:32:31,sell,0.01,xauusd,4380.81,0.00,4377.81,2026.05.28 06:37:01,4377.81,0.00,0.00,0.00,3.00
42799808,2026.05.28 06:35:11,buy,0.11,xauusd,4378.87,0.00,4381.11,2026.05.28 06:37:55,4375.97,0.00,0.00,0.00,-31.90
42799914,2026.05.28 06:37:01,sell,0.01,xauusd,4376.79,0.00,4373.79,2026.05.28 06:37:56,4376.21,0.00,0.00,0.00,0.58
42799964,2026.05.28 06:37:11,buy,0.17,xauusd,4375.42,0.00,4381.11,2026.05.28 06:37:57,4375.09,0.00,0.00,0.00,-5.61
42801130,2026.05.28 06:59:35,buy,0.01,xauusd,4376.05,0.00,4373.57,2026.05.28 07:02:32,4373.57,0.00,0.00,0.00,-2.48
